"name","address","city","year_built","architect","building_condition","heritage_value","building_history","description","sources_literature","images","main_image"
"Forsthaus Neubrück","Neubrück, Wokuhl-Dabelow (Mecklenburgische Seenplatte) - Forsthof 1","Neubrück","","","","Kurzferfassung, Literaturangabe","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Neubrück","Neubrück, Wokuhl-Dabelow (Mecklenburgische Seenplatte) - Forsthof 1","Neubrück","","","","Kurzferfassung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Neubrück","Neubrück, Wokuhl-Dabelow (Mecklenburgische Seenplatte) - Forsthof 1","Neubrück","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Neumeiershof","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Forsthof","Neumeiershof","","","","Gesamtanlage","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus 2","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Neumeiershof 2 - Forsthaus, Wohnhaus","Neumeiershof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stallscheune Neumeiershof","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Forsthof","Neumeiershof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Neumeiershof","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Forsthof","Neumeiershof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus 1","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Neumeiershof 1 - Wohnhaus","Neumeiershof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stallscheun Neumeiershof","Neumeiershof, Wulkenzin (Mecklenburgische Seenplatte) - Forsthof","Neumeiershof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Mirow","Mirow (Mecklenburgische Seenplatte) - Rudolf-Breitscheid-Straße 26 - Forsthaus","Mirow","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Carlshof","Carlshof, Schorssow (Landkreis Rostock) - Schorssower Weg 6 - Forsthaus","Carlshof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Wohnhaus Forstarbeitersiedlung","Carlshof, Schorssow (Landkreis Rostock) - Schorssower Weg 2-4 - Wohnhaus","Carlshof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
